Abbreviation	Canton
ZH	Zürich
BE	Bern
LU	Lucerne
UR	Uri
SZ	Schwyz
OW	Obwalden
NW	Nidwalden
GL	Glarus
ZG	Zug
FR	Fribourg
SO	Solothurn
BS	Basel-Stadt
BL	Basel-Landschaft
SH	Schaffhausen
AR	Appenzell A. Rh.
AR	Appenzell I. Rh.
SG	St. Gallen
GR	Graubünden
AG	Aargau
TG	Thurgau
TI	Ticino
VD	Vaud
VS	Valais
NE	Neuchâtel
GE	Geneva
JU	Jura
